Iteracion;Delta;Distancia
11;3.1420455;34.5625
12;3.140625;37.6875
13;3.1418269;40.84375
14;3.140625;43.96875
15;3.1416667;47.125
16;3.140625;50.25
17;3.141544;53.40625
18;3.140625;56.53125
19;3.1414473;59.6875
20;3.140625;62.8125
21;3.139881;65.9375
22;3.1420455;69.125
23;3.1413043;72.25
24;3.140625;75.375
25;3.14;78.5
26;3.1418269;81.6875
27;3.1412036;84.8125
28;3.140625;87.9375
29;3.1400862;91.0625
30;3.1416667;94.25
31;3.141129;97.375
32;3.140625;100.5
33;3.1401515;103.625
34;3.141544;106.8125
35;3.1410713;109.9375
36;3.140625;113.0625
37;3.1402028;116.1875
38;3.1414473;119.375
39;3.1410255;122.5
40;3.140625;125.625
41;3.140244;128.75
42;3.139881;131.875
43;3.139535;135.0
44;3.1420455;138.25
45;3.1416667;141.375
46;3.1413043;144.5
47;3.1409574;147.625
48;3.140625;150.75
49;3.1403062;153.875
50;3.14;157.0
51;3.139706;160.125
52;3.1418269;163.375
53;3.1415095;166.5
54;3.1412036;169.625
55;3.1409092;172.75
56;3.140625;175.875
57;3.1403508;179.0
58;3.1400862;182.125
59;3.1398306;185.25
60;3.1416667;188.5
61;3.1413934;191.625
62;3.141129;194.75
63;3.140873;197.875
64;3.140625;201.0
65;3.1403847;204.125
66;3.1401515;207.25
67;3.1399255;210.375
68;3.141544;213.625
69;3.1413043;216.75
70;3.1410713;219.875
71;3.140845;223.0
72;3.140625;226.125
73;3.140411;229.25
74;3.1402028;232.375
75;3.14;235.5
76;3.1414473;238.75
77;3.1412337;241.875
78;3.1410255;245.0
79;3.140823;248.125
80;3.140625;251.25
81;3.1404321;254.375
82;3.140244;257.5
83;3.1415663;260.75
84;3.139881;263.75
85;3.1411765;267.0
86;3.139535;270.0
87;3.1408045;273.25
88;3.1420455;276.5
89;3.1404495;279.5
90;3.1416667;282.75
91;3.1401098;285.75
92;3.1413043;289.0
93;3.139785;292.0
94;3.1409574;295.25
95;3.1394737;298.25
96;3.140625;301.5
97;3.1417525;304.75
98;3.1403062;307.75
99;3.1414142;311.0
100;3.14;314.0
101;3.1410892;317.25
102;3.139706;320.25
103;3.1407766;323.5
104;3.1418269;326.75
105;3.1404762;329.75
106;3.1415095;333.0
107;3.140187;336.0
108;3.1412036;339.25
109;3.1399083;342.25
110;3.1409092;345.5
111;3.1396396;348.5
112;3.140625;351.75
113;3.141593;355.0
114;3.1403508;358.0
115;3.1413043;361.25
116;3.1400862;364.25
117;3.1410255;367.5
118;3.1398306;370.5
119;3.1407564;373.75
120;3.1416667;377.0
121;3.1404958;380.0
122;3.1413934;383.25
123;3.140244;386.25
124;3.141129;389.5
125;3.14;392.5
126;3.140873;395.75
127;3.1397638;398.75
128;3.140625;402.0
129;3.1414728;405.25
130;3.1403847;408.25
131;3.1412213;411.5
132;3.1401515;414.5
133;3.1409774;417.75
134;3.1399255;420.75
135;3.1407406;424.0
136;3.141544;427.25
137;3.140511;430.25
138;3.1413043;433.5
139;3.1402879;436.5
140;3.1410713;439.75
141;3.140071;442.75
142;3.140845;446.0
143;3.1398602;449.0
144;3.140625;452.25
145;3.1413794;455.5
146;3.140411;458.5
147;3.1411564;461.75
148;3.1402028;464.75
149;3.1409397;468.0
150;3.14;471.0
151;3.1407285;474.25
152;3.1414473;477.5
153;3.140523;480.5
154;3.1412337;483.75
155;3.1403227;486.75
156;3.1410255;490.0
157;3.1401274;493.0
158;3.140823;496.25
159;3.1399372;499.25
160;3.140625;502.5
161;3.1413043;505.75
162;3.1404321;508.75
163;3.1414874;512.06244
164;3.140244;515.0
165;3.139394;518.0
166;3.1415663;521.5
167;3.1407185;524.5
168;3.139881;527.5
169;3.142012;531.0
170;3.1411765;534.0
171;3.1403508;537.0
172;3.139535;540.0
173;3.1416185;543.5
174;3.1408045;546.5
175;3.14;549.5
176;3.1420455;553.0
177;3.141243;556.0
178;3.1404495;559.0
179;3.139665;562.0
180;3.1416667;565.5
181;3.140884;568.5
182;3.1401098;571.5
183;3.1393442;574.5
184;3.1413043;578.0
185;3.1405406;581.0
186;3.139785;584.0
187;3.1417112;587.5
188;3.1409574;590.5
189;3.1402116;593.5
190;3.1394737;596.5
191;3.1413612;600.0
192;3.140625;603.0
193;3.1398964;606.0
194;3.1417525;609.5
195;3.1410255;612.5
196;3.1403062;615.5
197;3.1395938;618.5
198;3.1414142;622.0
199;3.1407034;625.0
200;3.14;628.0
201;3.141791;631.5
202;3.1410892;634.5
203;3.140394;637.5
204;3.139706;640.5
205;3.1414635;644.0
206;3.1407766;647.0
207;3.1400967;650.0
208;3.1418269;653.5
209;3.1411483;656.5
210;3.1404762;659.5
211;3.1398103;662.5
212;3.1415095;666.0
213;3.140845;669.0
214;3.140187;672.0
215;3.139535;675.0
216;3.1412036;678.5
217;3.140553;681.5
218;3.1399083;684.5
219;3.1415524;688.0
220;3.1409092;691.0
221;3.1402714;694.0
222;3.1396396;697.0
223;3.1412556;700.5
224;3.140625;703.5
225;3.14;706.5
226;3.141593;710.0
227;3.1409693;713.0
228;3.1403508;716.0
229;3.139738;719.0
230;3.1413043;722.5
231;3.1406927;725.5
232;3.1400862;728.5
233;3.141631;732.0
234;3.1410255;735.0
235;3.1404254;738.0
236;3.1398306;741.0
237;3.1413503;744.5
238;3.1407564;747.5
239;3.1401675;750.5
240;3.1416667;754.0
241;3.141079;757.0
242;3.1404958;760.0
243;3.1399176;763.0
244;3.1413934;766.5
245;3.1408162;769.5
246;3.140244;772.5
247;3.139676;775.5
248;3.141129;779.0
249;3.1405623;782.0
250;3.14;785.0
251;3.1414342;788.5
252;3.140873;791.5
253;3.1403162;794.5
254;3.1397638;797.5
255;3.1411765;801.0
256;3.140625;804.0
257;3.1400778;807.0
258;3.1414728;810.5
259;3.1409266;813.5
260;3.1403847;816.5
261;3.1398468;819.5
262;3.1412213;823.0
263;3.1406844;826.0
264;3.1401515;829.0
265;3.1415095;832.5
266;3.1409774;835.5
267;3.1404495;838.5
268;3.1399255;841.5
269;3.141264;845.0
270;3.1407406;848.0
271;3.1402214;851.0
272;3.141544;854.5
273;3.1410255;857.5
274;3.140511;860.5
275;3.14;863.5
276;3.1413043;867.0
277;3.1407943;870.0
278;3.1402879;873.0
279;3.139785;876.0
280;3.1410713;879.5
281;3.1405694;882.5
282;3.140071;885.5
283;3.1413426;889.0
284;3.140845;892.0
285;3.1403508;895.0
286;3.1398602;898.0
287;3.141115;901.5
288;3.140625;904.5
289;3.1401384;907.5
290;3.1413794;911.0
291;3.1408935;914.0
292;3.140411;917.0
293;3.1399317;920.0
294;3.1411564;923.5
295;3.140678;926.5
296;3.1402028;929.5
297;3.1414142;933.0
298;3.1409397;936.0
299;3.1404681;939.0
300;3.14;942.0
301;3.141196;945.5
302;3.1407285;948.5
303;3.140264;951.5
304;3.1414473;955.0
305;3.1409836;958.0
306;3.140523;961.0
307;3.1400652;964.0
308;3.1412337;967.5
309;3.1407766;970.5
310;3.1403227;973.5
311;3.1398714;976.5
312;3.1410255;980.0
313;3.1405752;983.0
314;3.1401274;986.0
315;3.14127;989.5
316;3.140823;992.5
317;3.1403785;995.5
318;3.1399372;998.5
319;3.1410658;1002.0
320;3.140625;1005.0
321;3.140187;1008.0
322;3.1413043;1011.5
323;3.1408668;1014.5
324;3.1404321;1017.5
325;3.14;1020.5
326;3.1414874;1024.1249
327;3.1406727;1027.0
328;3.140244;1030.0
329;3.1398177;1033.0
330;3.139394;1036.0
331;3.141994;1040.0
332;3.1415663;1043.0
333;3.1411412;1046.0
334;3.1407185;1049.0
335;3.1402986;1052.0
336;3.139881;1055.0
337;3.1394658;1058.0
338;3.142012;1062.0
339;3.141593;1065.0
340;3.1411765;1068.0
341;3.1407626;1071.0
342;3.1403508;1074.0
343;3.1399417;1077.0
344;3.139535;1080.0
345;3.142029;1084.0
346;3.1416185;1087.0
347;3.1412103;1090.0
348;3.1408045;1093.0
349;3.1404011;1096.0
350;3.14;1099.0
351;3.1396012;1102.0
352;3.1420455;1106.0
353;3.141643;1109.0
354;3.141243;1112.0
355;3.140845;1115.0
356;3.1404495;1118.0
357;3.1400561;1121.0
358;3.139665;1124.0
359;3.1392758;1127.0
360;3.1416667;1131.0
361;3.1412742;1134.0
362;3.140884;1137.0
363;3.1404958;1140.0
364;3.1401098;1143.0
365;3.139726;1146.0
366;3.1393442;1149.0
367;3.1416893;1153.0
368;3.1413043;1156.0
369;3.1409214;1159.0
370;3.1405406;1162.0
371;3.1401618;1165.0
372;3.139785;1168.0
373;3.1394103;1171.0
374;3.1417112;1175.0
375;3.1413333;1178.0
376;3.1409574;1181.0
377;3.1405835;1184.0
378;3.1402116;1187.0
379;3.1398418;1190.0
380;3.1394737;1193.0
381;3.1417322;1197.0
382;3.1413612;1200.0
383;3.1409922;1203.0
384;3.140625;1206.0
385;3.1402597;1209.0
386;3.1398964;1212.0
387;3.139535;1215.0
388;3.1417525;1219.0
389;3.1413882;1222.0
390;3.1410255;1225.0
391;3.140665;1228.0
392;3.1403062;1231.0
